Số thứ tự,"Tên tỉnh, thành phố",Mã viết tắt[2],Tỉnh lỵ[3],Khu vực,Năm thành lập[4],Dân số (người)[5],Diện tích (km²)[6],Mật độ (người/km²),Hành chính cấp huyện,Biển số xe,Mã vùng ĐT
1,Hà Giang,HGI,Thành phố Hà Giang,Đông Bắc Bộ,1891,854.679,"7.929,5",108,11,23,0219
2,Cao Bằng,CBA,Thành phố Cao Bằng,Đông Bắc Bộ,1499,530.341,"6.700,3",79,10,11,0206
3,Lào Cai,LCI,Thành phố Lào Cai,Tây Bắc Bộ,1907,730.420,6.364,115,9,24,0214
4,Sơn La,SLA,Thành phố Sơn La,Tây Bắc Bộ,1895,1.248.415,"14.123,5",88,12,26,0212
5,Lai Châu,LCA,Thành phố Lai Châu,Tây Bắc Bộ,1909,460.196,"9.068,8",51,8,25,0213
6,Bắc Kạn,BKA,Thành phố Bắc Kạn,Đông Bắc Bộ,1900,313.905,"4.859,96",65,8,97,0209
7,Lạng Sơn,LSN,Thành phố Lạng Sơn,Đông Bắc Bộ,1831,781.655,"8.310,2",94,11,12,0205
8,Tuyên Quang,TQU,Thành phố Tuyên Quang,Đông Bắc Bộ,1831,784.811,"5.867,9",134,7,22,0207
9,Yên Bái,YBA,Thành phố Yên Bái,Tây Bắc Bộ,1900,821.030,"6.887,7",119,9,21,0216
10,Thái Nguyên,TNG,Thành phố Thái Nguyên,Đông Bắc Bộ,1831,1.286.751,"3.536,4",364,9,20,0208
11,Điện Biên,DBI,Thành phố Điện Biên Phủ,Tây Bắc Bộ,2004,598.856,9.541,63,10,27,0215
12,Phú Thọ,PTH,Thành phố Việt Trì,Đông Bắc Bộ,1891,1.463.726,"3.534,6",414,13,19,0210
13,Vĩnh Phúc,VPH,Thành phố Vĩnh Yên,Đồng bằng sông Hồng,1950,1.154.154,"1.235,2",934,9,88,0211
14,Bắc Giang,BGI,Thành phố Bắc Giang,Đông Bắc Bộ,1895,1.803.950,"3.851,4",468,10,13 và 98,0204
15,Bắc Ninh,BNI,Thành phố Bắc Ninh,Đồng bằng sông Hồng,1831,1.368.840,"822,7",1.664,8,13 và 99,0222
16,Hà Nội,HNO,Quận Hoàn Kiếm,Đồng bằng sông Hồng,1010,8.053.663,"3.358,9",2.398,30,29 đến 33 và 40,024
17,Quảng Ninh,QNH,Thành phố Hạ Long,Đông Bắc Bộ,1963,1.320.324,"6.177,7",214,13,14,0203
18,Hải Dương,HDU,Thành phố Hải Dương,Đồng bằng sông Hồng,1469,1.892.254,"1.668,2",1.135,12,34,0220
19,Hải Phòng,HPG,Quận Hồng Bàng,Đồng bằng sông Hồng,1888,2.028.514,"1.522,5",1.332,15,15 và 16,0225
20,Hòa Bình,HBI,Thành phố Hòa Bình,Tây Bắc Bộ,1886,854.131,4.591,186,10,28,0218
21,Hưng Yên,HYE,Thành phố Hưng Yên,Đồng bằng sông Hồng,1831,1.252.731,"930,2",1.347,10,89,0221
22,Hà Nam,HNA,Thành phố Phủ Lý,Đồng bằng sông Hồng,1890,852.800,"860,9",991,6,90,0226
