Author,Title,Current Price,List Price,Discount Rate,Cong Ty Phat Hanh,Ngay Xuat Ban,Kich Thuoc,Dich Gia,Loai Bia,So Trang,Nha Xuat Ban,URL
David Cho,Combo Sách Hacker TOEIC - 30 Phút Tự Học TOEIC Mỗi Ngày : Hackers TOEIC Start Listening + Hackers TOEIC Start Reading,357.950 ₫,558.000 ₫,-36%,Alphabooks,,,,Bìa mềm,,Nhà Xuất Bản Dân Trí,https://tiki.vn/hackers-toeic-start-reading-30-phut-tu-hoc-toeic-moi-ngay-p59478507.html?spid=59478508
nhieu tac gia,Combo YBM TOEIC 1000 4 Vol (Trọn Bộ 4 Cuốn): YBM TOEIC Reading 1000 Trọn Bộ 2 Tập + YBM TOEIC Listening 1000 Trọn Bộ 2 Tập,593.100 ₫,,,Alpha Books,2020-11-01 22:01:11,,,Bìa mềm,2240,Nhà Xuất Bản Thế Giới,https://tiki.vn/very-easy-toeic-1-introduction-tang-kem-cd-p57350380.html?spid=57350381
,Barron's Essential Words For The Toeic (Tái Bản),173.740 ₫,238.000 ₫,-27%,First News - Trí Việt,2019-03-18 00:00:00,19 x 26 cm,,Bìa mềm,456,,https://tiki.vn/very-easy-toeic-1-introduction-tang-kem-cd-p57350380.html?spid=57350381
,Bộ sách Luyện thi NEW TOEIC. Trình độ Sơ - Trung cấp (Very Easy TOEIC 1 + Very Easy TOEIC 2 + TOEIC Upgrade),499.320 ₫,684.000 ₫,-27%,First News - Trí Việt,,,,Bìa mềm,,Nhà Xuất Bản Tổng hợp TP.HCM,https://tiki.vn/ybm-actual-toeic-tests-rc-1000-vol-1-p73854880.html?spid=73854881
,Sách - Hackers TOEIC VOCABULARY,181.350 ₫,279.000 ₫,-35%,Alpha Books,,,,,556,Nhà Xuất Bản Dân Trí,https://tiki.vn/hackers-toeic-start-reading-30-phut-tu-hoc-toeic-moi-ngay-p59478507.html?spid=59478508
Anne Taylor,Toeic Analyst Second Edition (Sách + 3CDs) (Tái Bản),105.120 ₫,144.000 ₫,-27%,First News - Trí Việt,2018-11-01 00:00:00,20.5 x 26 cm,,Bìa mềm,240,Nhà Xuất Bản Tổng hợp TP.HCM,https://tiki.vn/hackers-toeic-vocabulary-p58134518.html?spid=126735020
David Cho,Hackers Toeic Start Reading (30 Phút Tự Học TOEIC Mỗi Ngày),188.300 ₫,269.000 ₫,-30%,Alphabooks,2020-08-20 14:09:25,16 x 24 cm,Alphabooks,Bìa mềm,588,Nhà Xuất Bản Dân Trí,https://tiki.vn/toeic-upgrade-tang-kem-cd-p57350382.html?spid=57350383
,New Economy Toeic Lc 1000 (Kèm file MP3),158.300 ₫,198.000 ₫,-20%,Nhân Trí Việt,,18.2 x 26,,Bìa mềm,216,,https://tiki.vn/ybm-actual-toeic-tests-rc-1000-vol-1-p73854880.html?spid=73854881
YBM,YBM Actual Toeic Tests RC 1000 - Vol 1,160.300 ₫,229.000 ₫,-30%,Alphabooks,2020-12-01 00:00:00,16 x 24 cm,Hồ Thị Thanh Trà,Bìa mềm,612,Nhà Xuất Bản Dân Trí,https://tiki.vn/toeic-upgrade-tang-kem-cd-p57350382.html?spid=57350383
,New Economy Toeic Rc 1000,200.000 ₫,258.000 ₫,-22%,Nhân Trí Việt,,18.2 x 26,,Bìa mềm,132,,https://tiki.vn/ybm-actual-toeic-tests-rc-1000-vol-1-p73854880.html?spid=73854881
"Anne Taylor, ",Very Easy Toeic 1 - Introduction,166.440 ₫,228.000 ₫,-27%,First News - Trí Việt,,21 x 28 cm,,Bìa gập,240,Nhà Xuất Bản Compass Publishing,https://tiki.vn/very-easy-toeic-1-introduction-tang-kem-cd-p57350380.html?spid=57350381
YBM,YBM Actual Toeic Tests LC 1000 - Vol 1,160.300 ₫,229.000 ₫,-30%,Alphabooks,2020-12-01 00:00:00,16 x 24 cm,Ngô Thu Hằng,Bìa mềm,564,Nhà Xuất Bản Dân Trí,https://tiki.vn/toeic-upgrade-tang-kem-cd-p57350382.html?spid=57350383
David Cho,Hackers Toeic Vocabulary,179.500 ₫,,,Alphabooks,,16 x 24cm,Phan Điệu,Bìa mềm,556,Nhà Xuất Bản Dân Trí,https://tiki.vn/hackers-toeic-vocabulary-p58134518.html?spid=126735020
David Cho,Hackers Toeic Start Listening (30 Phút Tự Học TOEIC Mỗi Ngày),181.350 ₫,279.000 ₫,-35%,Alphabooks,2020-08-20 14:10:00,16 x 24 cm,Alphabooks,Bìa cứng,576,Nhà Xuất Bản Dân Trí,https://tiki.vn/toeic-upgrade-tang-kem-cd-p57350382.html?spid=57350383
